caldt,sprtrn
01/13/2004,-0.005332
01/14/2004,0.008295
01/15/2004,0.001353
01/16/2004,0.006872
01/20/2004,-0.000930
01/21/2004,0.007772
01/22/2004,-0.003207
01/23/2004,-0.002089
01/26/2004,0.012106
01/27/2004,-0.009798
01/28/2004,-0.013610
01/29/2004,0.004989
01/30/2004,-0.002628
02/02/2004,0.003651
02/03/2004,0.000678
02/04/2004,-0.008371
02/05/2004,0.001838
02/06/2004,0.012555
02/09/2004,-0.002581
02/10/2004,0.005027
02/11/2004,0.010667
02/12/2004,-0.004880
02/13/2004,-0.005468
02/17/2004,0.009757
02/18/2004,-0.004468
02/19/2004,-0.004133
02/20/2004,-0.002572
02/23/2004,-0.002727
02/24/2004,-0.001665
02/25/2004,0.004021
02/26/2004,0.001084
02/27/2004,0.000026
03/01/2004,0.009625
03/02/2004,-0.005934
03/03/2004,0.001688
03/04/2004,0.003336
03/05/2004,0.001723
03/08/2004,-0.008350
03/09/2004,-0.005779
03/10/2004,-0.014633
03/11/2004,-0.015224
03/12/2004,0.012460
03/15/2004,-0.014350
03/16/2004,0.005623
03/17/2004,0.011749
03/18/2004,-0.001273
03/19/2004,-0.011173
03/22/2004,-0.012958
03/23/2004,-0.001324
03/24/2004,-0.002395
03/25/2004,0.016365
03/26/2004,-0.001019
03/29/2004,0.013005
03/30/2004,0.004036
03/31/2004,-0.000701
04/01/2004,0.005292
04/02/2004,0.008515
04/05/2004,0.007672
04/06/2004,-0.002095
04/07/2004,-0.006645
04/08/2004,-0.001061
04/12/2004,0.005161
04/13/2004,-0.013762
04/14/2004,-0.001124
04/15/2004,0.000594
04/16/2004,0.005111
04/19/2004,0.001066
04/20/2004,-0.015557
04/21/2004,0.005312
04/22/2004,0.014091
04/23/2004,0.000588
04/26/2004,-0.004445
04/27/2004,0.002272
04/28/2004,-0.013795
04/29/2004,-0.007591
04/30/2004,-0.005916
05/03/2004,0.009203
05/04/2004,0.001843
05/05/2004,0.001769
05/06/2004,-0.006723
05/07/2004,-0.013725
05/10/2004,-0.010540
05/11/2004,0.007662
05/12/2004,0.001671
05/13/2004,-0.000766
05/14/2004,-0.000675
05/17/2004,-0.010587
05/18/2004,0.006817
05/19/2004,-0.002574
05/20/2004,0.000468
05/21/2004,0.004012
05/24/2004,0.001692
05/25/2004,0.016104
05/26/2004,0.001698
05/27/2004,0.005686
05/28/2004,-0.000535
06/01/2004,0.000464
06/02/2004,0.003380
06/03/2004,-0.007422
06/04/2004,0.005248
06/07/2004,0.015964
06/08/2004,0.001543
06/09/2004,-0.009499
