temp,year,week,hour
8,2013,5,14
9,2013,5,15
9,2013,5,16
10,2013,5,17
10,2013,5,18
10,2013,5,19
11,2013,5,20
11,2013,5,21
11,2013,5,22
11,2013,5,23
9,2013,5,0
7,2013,5,1
6,2013,5,2
5,2013,5,3
1,2013,5,4
1,2013,5,5
0,2013,5,6
0,2013,5,7
0,2013,5,8
0,2013,5,9
0,2013,5,10
0,2013,5,11
2,2013,5,12
5,2013,5,13
5,2013,5,14
7,2013,5,15
8,2013,5,16
11,2013,5,17
13,2013,5,18
15,2013,5,19
16,2013,5,20
16,2013,5,21
16,2013,5,22
14,2013,5,23
12,2013,6,0
10,2013,6,1
9,2013,6,2
8,2013,6,3
7,2013,6,4
8,2013,6,5
8,2013,6,6
8,2013,6,7
7,2013,6,8
7,2013,6,9
7,2013,6,10
7,2013,6,11
7,2013,6,12
7,2013,6,13
8,2013,6,14
9,2013,6,15
11,2013,6,16
12,2013,6,17
13,2013,6,18
14,2013,6,19
14,2013,6,20
13,2013,6,21
12,2013,6,22
11,2013,6,23
10,2013,6,0
10,2013,6,1
10,2013,6,2
10,2013,6,3
10,2013,6,4
10,2013,6,5
10,2013,6,6
11,2013,6,7
11,2013,6,8
11,2013,6,9
11,2013,6,10
9,2013,6,11
12,2013,6,12
12,2013,6,13
12,2013,6,14
13,2013,6,15
13,2013,6,16
13,2013,6,17
13,2013,6,18
13,2013,6,19
13,2013,6,20
12,2013,6,21
11,2013,6,22
10,2013,6,23
9,2013,6,0
9,2013,6,1
9,2013,6,2
9,2013,6,3
9,2013,6,4
8,2013,6,5
8,2013,6,6
8,2013,6,7
8,2013,6,8
8,2013,6,9
8,2013,6,10
7,2013,6,11
7,2013,6,12
7,2013,6,13
8,2013,6,14
9,2013,6,15
11,2013,6,16
11,2013,6,17
11,2013,6,18
11,2013,6,19
10,2013,6,20
9,2013,6,21
8,2013,6,22
8,2013,6,23
7,2013,6,0
7,2013,6,1
7,2013,6,2
7,2013,6,3
7,2013,6,4
7,2013,6,5
7,2013,6,6
7,2013,6,7
6,2013,6,8
6,2013,6,9
6,2013,6,10
6,2013,6,11
6,2013,6,12
6,2013,6,13
7,2013,6,14
8,2013,6,15
8,2013,6,16
9,2013,6,17
10,2013,6,18
9,2013,6,19
8,2013,6,20
8,2013,6,21
8,2013,6,22
7,2013,6,23
6,2013,6,0
6,2013,6,1
5,2013,6,2
4,2013,6,3
3,2013,6,4
3,2013,6,5
3,2013,6,6
3,2013,6,7
3,2013,6,8
3,2013,6,9
3,2013,6,10
3,2013,6,11
3,2013,6,12
3,2013,6,13
4,2013,6,14
5,2013,6,15
7,2013,6,16
8,2013,6,17
10,2013,6,18
11,2013,6,19
12,2013,6,20
12,2013,6,21
12,2013,6,22
11,2013,6,23
9,2013,6,0
7,2013,6,1
6,2013,6,2
4,2013,6,3
4,2013,6,4
3,2013,6,5
2,2013,6,6
2,2013,6,7
2,2013,6,8
1,2013,6,9
0,2013,6,10
0,2013,6,11
0,2013,6,12
0,2013,6,13
4,2013,6,14
9,2013,6,15
12,2013,6,16
14,2013,6,17
15,2013,6,18
15,2013,6,19
15,2013,6,20
16,2013,6,21
15,2013,6,22
14,2013,6,23
12,2013,6,0
9,2013,6,1
8,2013,6,2
7,2013,6,3
6,2013,6,4
6,2013,6,5
5,2013,6,6
5,2013,6,7
4,2013,6,8
4,2013,6,9
3,2013,6,10
3,2013,6,11
2,2013,6,12
2,2013,6,13
2,2013,6,14
3,2013,6,15
4,2013,6,16
5,2013,6,17
5,2013,6,18
5,2013,6,19
4,2013,6,20
3,2013,6,21
3,2013,6,22
2,2013,6,23
1,2013,7,0
0,2013,7,1
0,2013,7,2
0,2013,7,3
-1,2013,7,4
-1,2013,7,5
-2,2013,7,6
-2,2013,7,7
-2,2013,7,8
-3,2013,7,9
-3,2013,7,10
-4,2013,7,11
-4,2013,7,12
-4,2013,7,13
